1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,3. ¿Con qué género te identificas?,4. ¿Con qué frecuencia realizas viajes dentro de México?,5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?,6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?,"11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”",12. ¿Qué tipo de información consideras más importante?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?",15. ¿Qué funciones consideras indispensables en una app de viajes?,16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?"
"Ciudad de México, México",,30–39 años,Mujer,Una vez al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,3.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,Información falsa o incompleta,Información  veras
"Estado de México, México",,18–29 años,Mujer,Muy rara vez,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Información real y servicios y ubicaciones
"Ciudad de México, México",,30–39 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Mala experiencia de uso, No confiar en las recomendaciones, Información falsa o incompleta",Que la Apple sea útil 
"Estado de México, México",,18–29 años,Mujer,Muy rara vez,2 veces,Descanso / relajación,Otro,Confío en sus recomendaciones,Opiniones de otros usuarios,3.0,4.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Recomendaciones locales confiables,"Exceso de publicidad, Falta de valor real, Información falsa o incompleta",Sea muy local 
"Hidalgo, México",,18–29 años,Hombre,Varias veces al año,2 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,2.0,2.0,Horarios actualizados,Información desactualizada,2.0,Uso sin conexión,"Mala experiencia de uso, Exceso de publicidad, Falta de valor real",Precisa 
"Estado de México, México",,30–39 años,Mujer,Una vez al año,2 veces,Cultura / Historia,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"No confiar en las recomendaciones, Falta de valor real, Mala experiencia de uso",Que sirva 
"Estado de México, México",,18–29 años,Mujer,Una vez al año,2 veces,Descanso / relajación,Redes Sociales,Evito apps que parecen publicidad disfrazada,Opiniones de otros usuarios,3.0,5.0,Mapas y rutas,Información desactualizada,3.0,Eventos y experiencias locales,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Segura 
"Hidalgo, México","Tizayuca, Hidalgo, México",30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,Información falsa o incompleta,Aquí te esperamos con los brazos abiertos 
"Morelos, México",,50–59 años,Mujer,Esporádicamente,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,3.0,Mapas y rutas,Información desactualizada,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Verdadera
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,4 veces o más,4 veces o más,Redes Sociales,Evito apps que parecen publicidad disfrazada,Precio,4.0,5.0,Horarios actualizados,Falta de información en el momento exacto,5.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real","Que sea informativa y siempre este actualizada, si es posible con precios y horarios de los locales "
"Hidalgo, México","Actopan, Hidalgo, México",30–39 años,Mujer,Esporádicamente,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Ver que sea información verifica
"Querétaro, México",,40–49 años,Mujer,Esporádicamente,3 veces,Descanso / relajación,Redes Sociales,Confío en sus recomendaciones,Que no parezca patrocinada,4.0,5.0,Mapas y rutas,Información desactualizada,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones","Información verídica,  actualizada y mapas offline"
"Puebla, México",,50–59 años,Mujer,Una vez al año,1 vez,Descanso / relajación,Google,Me ayudan a ahorrar tiempo,Cercanía / ubicación,4.0,5.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Que sea seria y efectiva
"Guanajuato, México",,18–29 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,Google,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,3.0,Rutas sugeridas,"Exceso de publicidad, Mala experiencia de uso, No confiar en las recomendaciones","Rutas, experiencias 


"
"Hidalgo, México","Actopan, Hidalgo, México",18–29 años,Mujer,Varias veces al año,3 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real, Exceso de publicidad",Información completa 
"Estado de México, México",,18–29 años,Mujer,Muy rara vez,1 vez,Gastronomía,Redes Sociales,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,3.0,3.0,Mapas y rutas,Demasiadas opciones sin guía,2.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Exceso de publicidad",Sea 0ptima
"Ciudad de México, México",,18–29 años,Mujer,Una vez al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,5.0,Horarios actualizados,Demasiadas opciones sin guía,3.0,Recomendaciones locales confiables,Información falsa o incompleta,Que este recomendado y tenga información real
"Hidalgo, México","Actopan, Hidalgo, México",18–29 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,3.0,Mapas y rutas,Información desactualizada,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Que te ofrezca informacion de todo lo que puedas encontrar e. El estado
"Hidalgo, México","Tenango de Doria, Hidalgo, México",18–29 años,Mujer,Muy rara vez,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,3.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",
"Hidalgo, México","Tizayuca, Hidalgo, México",30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Demasiadas opciones sin guía,5.0,Recomendaciones locales confiables,"Falta de valor real, Exceso de publicidad, No confiar en las recomendaciones",Utilidad y veracidad
"Estado de México, México",,18–29 años,Mujer,Varias veces al año,4 veces o más,Gastronomía,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Seguridad,Poca visibilidad de comercios locales,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Información verídica actual
"Ciudad de México, México",,50–59 años,Mujer,Esporádicamente,2 veces,Naturaleza,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Opiniones de otros usuarios,3.0,3.0,Recomendaciones cercanas,Información desactualizada,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, No confiar en las recomendaciones, Exceso de publicidad",Veraz
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,4 veces o más,Cultura / Historia,Google,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,4.0,2.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real","Que sea practica, no ocupe mucha memoria y sea fácil de entender "
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,3.0,4.0,Mapas y rutas,Falta de información en el momento exacto,3.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad",
"Hidalgo, México","Ixmiquilpan, Hidalgo, México",30–39 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Otro,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,5.0,Horarios actualizados,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que sea confiable
"Hidalgo, México","Tepeapulco, Hidalgo, México",40–49 años,Otro / Prefiero no contestar,Varias veces al año,4 veces o más,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,2.0,Eventos y experiencias locales,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que fuera real
"Veracruz de Ignacio de la Llave, México",,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Que sea útil y actualizada 
"Hidalgo, México","Mineral del Monte, Hidalgo, México",18–29 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Recomendación local,1.0,2.0,Mapas y rutas,Poca visibilidad de comercios locales,1.0,Comercios y servicios cercanos,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Información concreta y real 
"Estado de México, México",,18–29 años,Mujer,Esporádicamente,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,3.0,3.0,Mapas y rutas,Información desactualizada,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",60 años o más,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Información correcta y precisa 
"Ciudad de México, México",,30–39 años,Hombre,Esporádicamente,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,3.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Que me ofrezca información Verídica de todos los destinos turísticos del estado 
"Estado de México, México",,40–49 años,Mujer,Varias veces al año,2 veces,4 veces o más,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",
"Estado de México, México",,30–39 años,Mujer,Esporádicamente,2 veces,Descanso / relajación,Google,Evito apps que parecen publicidad disfrazada,Precio,2.0,1.0,Mapas y rutas,Recomendaciones poco confiables,3.0,Uso sin conexión,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real",
"Veracruz de Ignacio de la Llave, México",,30–39 años,Mujer,Esporádicamente,3 veces,Cultura / Historia,Redes Sociales,La información suele ser clara y actualizada,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Que me muestres datos actualizados y reales
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",30–39 años,Hombre,Esporádicamente,4 veces o más,4 veces o más,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,3.0,Recomendaciones cercanas,Falta de información en el momento exacto,2.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones","Información real breve y consisa 
"
"Ciudad de México, México",,40–49 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",Que realmente sea de gran utilidad la aplicación para los turistas
"Ciudad de México, México",,30–39 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,4.0,Seguridad,Poca visibilidad de comercios locales,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso","Que mencione lugares atractivos para visitar, con costos, características, disponibilidad, horarios y rutas para llegar "
"Hidalgo, México","Huasca de Ocampo, Hidalgo, México",50–59 años,Hombre,Una vez al año,3 veces,Naturaleza,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Fotos reales,2.0,2.0,Seguridad,Demasiadas opciones sin guía,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad 
"Guanajuato, México",,18–29 años,Mujer,Varias veces al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso","Inf actualizada, offline porque hay poca señal y que marque experiencias con horarios actualizados "
"Ciudad de México, México",,60 años o más,Mujer,,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,2.0,Recomendaciones locales confiables,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real","Que sirva
"
"Hidalgo, México","Atotonilco el Grande, Hidalgo, México",18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Demasiadas opciones sin guía,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Que accesible y segura
"Ciudad de México, México",,40–49 años,Hombre,Muy rara vez,3 veces,Descanso / relajación,No busco inspiración,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,3.0,4.0,Mapas y rutas,Poca visibilidad de comercios locales,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Nada
"Ciudad de México, México",,50–59 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Evito apps que parecen publicidad disfrazada,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Comfiabilidad
"Ciudad de México, México",,40–49 años,Mujer,Una vez al año,2 veces,Cultura / Historia,Redes Sociales,Confío en sus recomendaciones,Cercanía / ubicación,3.0,4.0,Mapas y rutas,Demasiadas opciones sin guía,3.0,Uso sin conexión,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",No tengo opcines
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Cercanía / ubicación,4.0,4.0,Mapas y rutas,Poca visibilidad de comercios locales,5.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad","Información completa y actualizada 
Con buenos recomendaciones de distintos precios"
"Hidalgo, México","Atotonilco el Grande, Hidalgo, México",18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Confiable y verídica
"Ciudad de México, México",,50–59 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Veracidad
"Estado de México, México",,40–49 años,Hombre,Una vez al año,2 veces,Descanso / relajación,Redes Sociales,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,3.0,3.0,Mapas y rutas,Poca visibilidad de comercios locales,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad",
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Uso sin conexión,"Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",Que muestre precios y los horarios abiertos 
"Estado de México, México",,40–49 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Que se trate de una plataforma oficial,5.0,1.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,Exceso de publicidad,Veracidad en la información 
"Estado de México, México",,30–39 años,Mujer,Esporádicamente,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,3.0,3.0,Mapas y rutas,Poca visibilidad de comercios locales,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Confiable 
"Querétaro, México",,18–29 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,Redes Sociales,Evito apps que parecen publicidad disfrazada,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,2.0,Comercios y servicios cercanos,"Mala experiencia de uso, Exceso de publicidad, Información falsa o incompleta",Eficaz eficiente
"Guanajuato, México",,30–39 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Horarios y precios reales
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,1 vez,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Información real
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Google,Me ayudan a ahorrar tiempo,Fotos reales,2.0,3.0,Seguridad,Recomendaciones poco confiables,2.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Ninguna
"Ciudad de México, México",,30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que sea una herramienta útil 
"Veracruz de Ignacio de la Llave, México",,30–39 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Cercanía / ubicación,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que fuera confiable y segura 
"Guerrero, México",,50–59 años,Hombre,Una vez al año,1 vez,Descanso / relajación,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Opiniones de otros usuarios,5.0,3.0,Mapas y rutas,Recomendaciones poco confiables,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que sea buena
"Ciudad de México, México",,18–29 años,Hombre,Una vez al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,4.0,Mapas y rutas,Poca visibilidad de comercios locales,4.0,Recomendaciones locales confiables,"Mala experiencia de uso, Falta de valor real, Exceso de publicidad",Que sea accesible y verídica
"Ciudad de México, México",,40–49 años,Hombre,Esporádicamente,2 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,3.0,3.0,Horarios actualizados,Información desactualizada,3.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Ninguna
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",40–49 años,Hombre,Esporádicamente,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Que no parezca patrocinada,5.0,5.0,Mapas y rutas,Información desactualizada,2.0,Información verificada,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que fuera de fácil acceso y cómoda 
"Hidalgo, México","Tianguistengo, Hidalgo, México",30–39 años,Mujer,Esporádicamente,4 veces o más,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, No confiar en las recomendaciones, Falta de valor real",Que sea confiable y segura 
"Hidalgo, México","Mineral de la Reforma, Hidalgo, México",40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Evito apps que parecen publicidad disfrazada,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, No confiar en las recomendaciones",Veracidad 
"Guerrero, México",,30–39 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,3.0,3.0,Horarios actualizados,Poca visibilidad de comercios locales,1.0,Información verificada,Información falsa o incompleta,Que funcione con facilidad 
"Estado de México, México",,18–29 años,Hombre,Una vez al año,2 veces,Cultura / Historia,Redes Sociales,Confío en sus recomendaciones,Precio,4.0,4.0,Horarios actualizados,Información desactualizada,4.0,Información verificada,Exceso de publicidad,Confiabilidad 
"Tlaxcala, México",,18–29 años,Hombre,Muy rara vez,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Demasiadas opciones sin guía,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Buenas sugerencias
"Hidalgo, México","Tepeapulco, Hidalgo, México",30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,4.0,Mapas y rutas,Demasiadas opciones sin guía,4.0,Comercios y servicios cercanos,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",
"Tamaulipas, México",,40–49 años,Hombre,Esporádicamente,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Información falsa o incompleta, Mala experiencia de uso","Que tenga información clara, segura que no influya los patrocinadores y para diferentes tipos por ejemplo familiar, aventura etc"
"Estado de México, México",,50–59 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Horarios actualizados,Poca visibilidad de comercios locales,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Actualización 
"Hidalgo, México","Huasca de Ocampo, Hidalgo, México",18–29 años,Hombre,Esporádicamente,4 veces o más,4 veces o más,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Recomendaciones locales confiables,Exceso de publicidad,Buena y confiable 
"Estado de México, México",,40–49 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,Google,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Demasiadas opciones sin guía,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real",
"Hidalgo, México","Huasca de Ocampo, Hidalgo, México",18–29 años,Mujer,Varias veces al año,3 veces,Naturaleza,Google,Evito apps que parecen publicidad disfrazada,Opiniones de otros usuarios,4.0,5.0,Mapas y rutas,Poca visibilidad de comercios locales,3.0,Comercios y servicios cercanos,Exceso de publicidad,Fácil y confiable 
"Estado de México, México",,30–39 años,Mujer,Esporádicamente,2 veces,Descanso / relajación,Redes Sociales,Confío en sus recomendaciones,Fotos reales,4.0,3.0,Mapas y rutas,Información desactualizada,4.0,Uso sin conexión,"Mala experiencia de uso, Falta de valor real",
"Ciudad de México, México",,18–29 años,Mujer,Una vez al año,3 veces,Gastronomía,Redes Sociales,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,5.0,5.0,Recomendaciones cercanas,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real",
"Veracruz de Ignacio de la Llave, México",,50–59 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,3.0,3.0,Mapas y rutas,Información desactualizada,2.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Veracidad 
"Baja California, México",,18–29 años,Hombre,Una vez al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Confiable
